idtbody2,lectura,claveU
31,"{""head"": {""X"": -0.00700052269, ""Y"": 0.3562833, ""Z"": 1.1721518}, ""neck"": {""X"": -0.00188226777, ""Y"": 0.214991659, ""Z"": 1.1763519}, ""hipLeft"": {""X"": -0.0177910943, ""Y"": -0.250962317, ""Z"": 1.14455414}, ""footLeft"": {""X"": 0.0729095042, ""Y"": -0.625487, ""Z"": 0.498390675}, ""handLeft"": {""X"": -0.0519056767, ""Y"": -0.245499119, ""Z"": 1.05476367}, ""hipRight"": {""X"": 0.131530181, ""Y"": -0.237693116, ""Z"": 1.1551441}, ""kneeLeft"": {""X"": 0.000482191448, ""Y"": -0.213389069, ""Z"": 0.713362455}, ""spineMid"": {""X"": 0.0273388531, ""Y"": -0.0126055581, ""Z"": 1.18321025}, ""ankleLeft"": {""X"": 0.06409343, ""Y"": -0.611699045, ""Z"": 0.6244314}, ""elbowLeft"": {""X"": -0.200402379, ""Y"": -0.0449975468, ""Z"": 1.11645722}, ""footRight"": {""X"": 0.186440036, ""Y"": -0.204078928, ""Z"": 0.24755384}, ""handRight"": {""X"": 0.205640778, ""Y"": -0.292091042, ""Z"": 1.02464259}, ""kneeRight"": {""X"": 0.163125888, ""Y"": -0.2297886, ""Z"": 0.722695947}, ""spineBase"": {""X"": 0.0580947362, ""Y"": -0.250489652, ""Z"": 1.17769659}, ""thumbLeft"": {""X"": -0.01583821, ""Y"": -0.228644967, ""Z"": 1.02004766}, ""wristLeft"": {""X"": -0.0708989054, ""Y"": -0.196610674, ""Z"": 1.05333173}, ""ankleRight"": {""X"": 0.192281038, ""Y"": -0.227713749, ""Z"": 0.380652368}, ""elbowRight"": {""X"": 0.26247108, ""Y"": -0.06817701, ""Z"": 1.15643775}, ""thumbRight"": {""X"": 0.164214641, ""Y"": -0.3149627, ""Z"": 1.031}, ""wristRight"": {""X"": 0.234630466, ""Y"": -0.238713562, ""Z"": 1.06944978}, ""handTipLeft"": {""X"": -0.03062908, ""Y"": -0.321427435, ""Z"": 1.02654839}, ""handTipRight"": {""X"": 0.170544535, ""Y"": -0.350331724, ""Z"": 0.978975236}, ""shoulderLeft"": {""X"": -0.1526996, ""Y"": 0.1004073, ""Z"": 1.14731336}, ""shoulderRight"": {""X"": 0.175286055, ""Y"": 0.120276049, ""Z"": 1.16169691}, ""spineShoulder"": {""X"": 0.00525251962, ""Y"": 0.159453586, ""Z"": 1.179963}}",69E0A85972944A3FAE769D23F142D0C9
32,"{""head"": {""X"": 0.0033187645, ""Y"": 0.357550323, ""Z"": 1.17307}, ""neck"": {""X"": 0.006833505, ""Y"": 0.2159225, ""Z"": 1.17633986}, ""hipLeft"": {""X"": -0.0127436668, ""Y"": -0.2513997, ""Z"": 1.14641082}, ""footLeft"": {""X"": 0.06949863, ""Y"": -0.6361591, ""Z"": 0.502681732}, ""handLeft"": {""X"": -0.0574830845, ""Y"": -0.23878935, ""Z"": 1.05274832}, ""hipRight"": {""X"": 0.1350168, ""Y"": -0.238134414, ""Z"": 1.1561116}, ""kneeLeft"": {""X"": 0.00230799848, ""Y"": -0.22107558, ""Z"": 0.7144765}, ""spineMid"": {""X"": 0.0338422023, ""Y"": -0.01243994, ""Z"": 1.18405128}, ""ankleLeft"": {""X"": 0.0617371723, ""Y"": -0.62161696, ""Z"": 0.628514051}, ""elbowLeft"": {""X"": -0.200451255, ""Y"": -0.04119359, ""Z"": 1.11964643}, ""footRight"": {""X"": 0.185484514, ""Y"": -0.2064164, ""Z"": 0.248085111}, ""handRight"": {""X"": 0.210570633, ""Y"": -0.293390334, ""Z"": 1.01899564}, ""kneeRight"": {""X"": 0.16455473, ""Y"": -0.231049523, ""Z"": 0.7235073}, ""spineBase"": {""X"": 0.06253357, ""Y"": -0.250876248, ""Z"": 1.17912781}, ""thumbLeft"": {""X"": -0.07597139, ""Y"": -0.2914178, ""Z"": 0.945}, ""wristLeft"": {""X"": -0.0708391, ""Y"": -0.19270198, ""Z"": 1.05645514}, ""ankleRight"": {""X"": 0.1920367, ""Y"": -0.22965993, ""Z"": 0.38127315}, ""elbowRight"": {""X"": 0.2707957, ""Y"": -0.06726641, ""Z"": 1.155341}, ""thumbRight"": {""X"": 0.191039518, ""Y"": -0.283093959, ""Z"": 1.04869235}, ""wristRight"": {""X"": 0.239671946, ""Y"": -0.238925338, ""Z"": 1.06558418}, ""handTipLeft"": {""X"": -0.0644038841, ""Y"": -0.3071965, ""Z"": 0.9583552}, ""handTipRight"": {""X"": 0.172819808, ""Y"": -0.347658366, ""Z"": 0.9726142}, ""shoulderLeft"": {""X"": -0.143461123, ""Y"": 0.100891009, ""Z"": 1.1491611}, ""shoulderRight"": {""X"": 0.18343094, ""Y"": 0.121079504, ""Z"": 1.16104412}, ""spineShoulder"": {""X"": 0.0134117054, ""Y"": 0.160199031, ""Z"": 1.1801914}}",69E0A85972944A3FAE769D23F142D0C9
33,"{""head"": {""X"": 0.0137140471, ""Y"": 0.358600318, ""Z"": 1.17333007}, ""neck"": {""X"": 0.01600503, ""Y"": 0.216855973, ""Z"": 1.17631364}, ""hipLeft"": {""X"": -0.008144983, ""Y"": -0.2527224, ""Z"": 1.14684045}, ""footLeft"": {""X"": 0.0230862387, ""Y"": -0.199629977, ""Z"": 0.2375399}, ""handLeft"": {""X"": -0.0609584078, ""Y"": -0.241248146, ""Z"": 1.07189214}, ""hipRight"": {""X"": 0.137693375, ""Y"": -0.239118457, ""Z"": 1.15622437}, ""kneeLeft"": {""X"": 0.00753734866, ""Y"": -0.234247461, ""Z"": 0.714170158}, ""spineMid"": {""X"": 0.04018362, ""Y"": -0.0127370283, ""Z"": 1.184173}, ""ankleLeft"": {""X"": 0.0207094, ""Y"": -0.224498942, ""Z"": 0.3726386}, ""elbowLeft"": {""X"": -0.198141411, ""Y"": -0.0419483036, ""Z"": 1.122633}, ""footRight"": {""X"": 0.184603542, ""Y"": -0.211175635, ""Z"": 0.247877792}, ""handRight"": {""X"": 0.214096025, ""Y"": -0.2943545, ""Z"": 1.01347423}, ""kneeRight"": {""X"": 0.165257186, ""Y"": -0.234074548, ""Z"": 0.7234626}, ""spineBase"": {""X"": 0.06623867, ""Y"": -0.2520101, ""Z"": 1.17939329}, ""thumbLeft"": {""X"": -0.0284725428, ""Y"": -0.220827654, ""Z"": 1.03594446}, ""wristLeft"": {""X"": -0.09722803, ""Y"": -0.18949227, ""Z"": 1.1089083}, ""ankleRight"": {""X"": 0.191106886, ""Y"": -0.234394059, ""Z"": 0.381004333}, ""elbowRight"": {""X"": 0.27663213, ""Y"": -0.0651095361, ""Z"": 1.15433919}, ""thumbRight"": {""X"": 0.209337309, ""Y"": -0.323144525, ""Z"": 1.01492858}, ""wristRight"": {""X"": 0.245484874, ""Y"": -0.238702744, ""Z"": 1.06189263}, ""handTipLeft"": {""X"": -0.0349337, ""Y"": -0.307956874, ""Z"": 1.03704464}, ""handTipRight"": {""X"": 0.173450544, ""Y"": -0.347774357, ""Z"": 0.9692879}, ""shoulderLeft"": {""X"": -0.143083781, ""Y"": 0.101265445, ""Z"": 1.14894247}, ""shoulderRight"": {""X"": 0.182815075, ""Y"": 0.1200396, ""Z"": 1.16082239}, ""spineShoulder"": {""X"": 0.0218805149, ""Y"": 0.160810769, ""Z"": 1.18019783}}",69E0A85972944A3FAE769D23F142D0C9
34,"{""head"": {""X"": 0.125923142, ""Y"": 0.365052551, ""Z"": 1.222906}, ""neck"": {""X"": 0.12256138, ""Y"": 0.235323, ""Z"": 1.16808724}, ""hipLeft"": {""X"": 0.06513656, ""Y"": -0.2363482, ""Z"": 1.064834}, ""footLeft"": {""X"": 0.113394827, ""Y"": -0.5592147, ""Z"": 0.383359671}, ""handLeft"": {""X"": -0.0788863748, ""Y"": -0.1607066, ""Z"": 0.7059}, ""hipRight"": {""X"": 0.219003916, ""Y"": -0.23125346, ""Z"": 1.0718348}, ""kneeLeft"": {""X"": 0.08325948, ""Y"": -0.163759619, ""Z"": 0.6398587}, ""spineMid"": {""X"": 0.134987339, ""Y"": 0.00288537983, ""Z"": 1.13967013}, ""ankleLeft"": {""X"": 0.107230343, ""Y"": -0.5584902, ""Z"": 0.5116469}, ""elbowLeft"": {""X"": -0.07937644, ""Y"": -0.08132717, ""Z"": 1.02227557}, ""footRight"": {""X"": 0.2547148, ""Y"": -0.0377965346, ""Z"": 0.180446059}, ""handRight"": {""X"": 0.4682087, ""Y"": -0.112096772, ""Z"": 0.7782788}, ""kneeRight"": {""X"": 0.240709379, ""Y"": -0.142289847, ""Z"": 0.6495615}, ""spineBase"": {""X"": 0.145786136, ""Y"": -0.23982662, ""Z"": 1.09570813}, ""thumbLeft"": {""X"": -0.06614926, ""Y"": -0.1895412, ""Z"": 0.724199951}, ""wristLeft"": {""X"": -0.09460096, ""Y"": -0.0984414443, ""Z"": 0.8121662}, ""ankleRight"": {""X"": 0.264704764, ""Y"": -0.0707578, ""Z"": 0.3094151}, ""elbowRight"": {""X"": 0.3857813, ""Y"": -0.06802358, ""Z"": 1.123955}, ""thumbRight"": {""X"": 0.462685376, ""Y"": -0.0579842962, ""Z"": 0.765}, ""wristRight"": {""X"": 0.35369578, ""Y"": -0.170202017, ""Z"": 0.982751369}, ""handTipLeft"": {""X"": -0.0777009353, ""Y"": -0.183445409, ""Z"": 0.6488063}, ""handTipRight"": {""X"": 0.4449897, ""Y"": -0.1206191, ""Z"": 0.745223641}, ""shoulderLeft"": {""X"": -0.0433341973, ""Y"": 0.115682535, ""Z"": 1.09311128}, ""shoulderRight"": {""X"": 0.29098, ""Y"": 0.113800168, ""Z"": 1.11474478}, ""spineShoulder"": {""X"": 0.12543346, ""Y"": 0.178538874, ""Z"": 1.1630733}}",5733D7E66AA04DC88AAD76C7FAA056AE
35,"{""head"": {""X"": 0.1273258, ""Y"": 0.364678144, ""Z"": 1.22244787}, ""neck"": {""X"": 0.1244238, ""Y"": 0.23515074, ""Z"": 1.166417}, ""hipLeft"": {""X"": 0.06331971, ""Y"": -0.236238569, ""Z"": 1.06363356}, ""footLeft"": {""X"": 0.107740134, ""Y"": -0.5604476, ""Z"": 0.380683184}, ""handLeft"": {""X"": -0.07722475, ""Y"": -0.168125719, ""Z"": 0.708965957}, ""hipRight"": {""X"": 0.214539126, ""Y"": -0.232670754, ""Z"": 1.06812656}, ""kneeLeft"": {""X"": 0.07953805, ""Y"": -0.164194018, ""Z"": 0.6385005}, ""spineMid"": {""X"": 0.134660155, ""Y"": 0.00279531558, ""Z"": 1.13779521}, ""ankleLeft"": {""X"": 0.100981131, ""Y"": -0.559971452, ""Z"": 0.508905649}, ""elbowLeft"": {""X"": -0.0783423, ""Y"": -0.08035099, ""Z"": 1.0186913}, ""footRight"": {""X"": 0.253250033, ""Y"": -0.04764724, ""Z"": 0.175105453}, ""handRight"": {""X"": 0.461225122, ""Y"": -0.116662934, ""Z"": 0.770147}, ""kneeRight"": {""X"": 0.237506256, ""Y"": -0.148487911, ""Z"": 0.644923449}, ""spineBase"": {""X"": 0.142730832, ""Y"": -0.2403311, ""Z"": 1.0934273}, ""thumbLeft"": {""X"": -0.06344522, ""Y"": -0.2236099, ""Z"": 0.741}, ""wristLeft"": {""X"": -0.08204082, ""Y"": -0.135633513, ""Z"": 0.8147096}, ""ankleRight"": {""X"": 0.262556285, ""Y"": -0.08113507, ""Z"": 0.303890049}, ""elbowRight"": {""X"": 0.387799621, ""Y"": -0.06694439, ""Z"": 1.12146473}, ""thumbRight"": {""X"": 0.4565503, ""Y"": -0.06570245, ""Z"": 0.760122657}, ""wristRight"": {""X"": 0.335997224, ""Y"": -0.164209992, ""Z"": 0.94276154}, ""handTipLeft"": {""X"": -0.08182247, ""Y"": -0.170730412, ""Z"": 0.6067936}, ""handTipRight"": {""X"": 0.4262161, ""Y"": -0.126110524, ""Z"": 0.7066843}, ""shoulderLeft"": {""X"": -0.04174826, ""Y"": 0.116138555, ""Z"": 1.09094036}, ""shoulderRight"": {""X"": 0.290678054, ""Y"": 0.11391452, ""Z"": 1.114709}, ""spineShoulder"": {""X"": 0.126725376, ""Y"": 0.178437471, ""Z"": 1.16136789}}",5733D7E66AA04DC88AAD76C7FAA056AE
36,"{""head"": {""X"": 0.128427938, ""Y"": 0.364522219, ""Z"": 1.221968}, ""neck"": {""X"": 0.126135334, ""Y"": 0.235158, ""Z"": 1.16498625}, ""hipLeft"": {""X"": 0.06254534, ""Y"": -0.236474752, ""Z"": 1.06288588}, ""footLeft"": {""X"": 0.0998648852, ""Y"": -0.5628507, ""Z"": 0.377790451}, ""handLeft"": {""X"": -0.0779340938, ""Y"": -0.1662011, ""Z"": 0.703579}, ""hipRight"": {""X"": 0.211348325, ""Y"": -0.233900711, ""Z"": 1.066236}, ""kneeLeft"": {""X"": 0.076817736, ""Y"": -0.165618151, ""Z"": 0.637489259}, ""spineMid"": {""X"": 0.134525463, ""Y"": 0.00262903329, ""Z"": 1.136416}, ""ankleLeft"": {""X"": 0.09499477, ""Y"": -0.5625714, ""Z"": 0.5061254}, ""elbowLeft"": {""X"": -0.07799824, ""Y"": -0.08021878, ""Z"": 1.0160656}, ""footRight"": {""X"": 0.255806953, ""Y"": -0.06660776, ""Z"": 0.170172334}, ""handRight"": {""X"": 0.454928368, ""Y"": -0.112447836, ""Z"": 0.756983757}, ""kneeRight"": {""X"": 0.2382818, ""Y"": -0.159573674, ""Z"": 0.641359}, ""spineBase"": {""X"": 0.140828475, ""Y"": -0.241038337, ""Z"": 1.09208822}, ""thumbLeft"": {""X"": -0.0629011542, ""Y"": -0.207078367, ""Z"": 0.6893333}, ""wristLeft"": {""X"": -0.08316584, ""Y"": -0.13405171, ""Z"": 0.8117252}, ""ankleRight"": {""X"": 0.2665528, ""Y"": -0.1007439, ""Z"": 0.298710048}, ""elbowRight"": {""X"": 0.3901728, ""Y"": -0.06672418, ""Z"": 1.11926365}, ""thumbRight"": {""X"": 0.449501723, ""Y"": -0.0637338758, ""Z"": 0.74666667}, ""wristRight"": {""X"": 0.338892072, ""Y"": -0.162141114, ""Z"": 0.9458557}, ""handTipLeft"": {""X"": -0.0823371559, ""Y"": -0.175497279, ""Z"": 0.6277216}, ""handTipRight"": {""X"": 0.442035735, ""Y"": -0.119775459, ""Z"": 0.7332022}, ""shoulderLeft"": {""X"": -0.0442084149, ""Y"": 0.115174979, ""Z"": 1.09312844}, ""shoulderRight"": {""X"": 0.292270154, ""Y"": 0.113572188, ""Z"": 1.11161852}, ""spineShoulder"": {""X"": 0.127956584, ""Y"": 0.178426, ""Z"": 1.15992713}}",5733D7E66AA04DC88AAD76C7FAA056AE
37,"{""head"": {""X"": 0.129678756, ""Y"": 0.364515573, ""Z"": 1.22117424}, ""neck"": {""X"": 0.127192035, ""Y"": 0.235236228, ""Z"": 1.16362929}, ""hipLeft"": {""X"": 0.06177303, ""Y"": -0.237060964, ""Z"": 1.06182289}, ""footLeft"": {""X"": 0.08965622, ""Y"": -0.5675894, ""Z"": 0.374401}, ""handLeft"": {""X"": -0.07688447, ""Y"": -0.165137872, ""Z"": 0.706096232}, ""hipRight"": {""X"": 0.208235741, ""Y"": -0.236078933, ""Z"": 1.06408978}, ""kneeLeft"": {""X"": 0.0708518848, ""Y"": -0.169381648, ""Z"": 0.6357808}, ""spineMid"": {""X"": 0.1342159, ""Y"": 0.00221282523, ""Z"": 1.134752}, ""ankleLeft"": {""X"": 0.08451624, ""Y"": -0.567606032, ""Z"": 0.5026383}, ""elbowLeft"": {""X"": -0.07685611, ""Y"": -0.0793206245, ""Z"": 1.01262712}, ""footRight"": {""X"": 0.249986246, ""Y"": -0.08430302, ""Z"": 0.165204078}, ""handRight"": {""X"": 0.464279443, ""Y"": -0.109913826, ""Z"": 0.7763787}, ""kneeRight"": {""X"": 0.233390376, ""Y"": -0.170449972, ""Z"": 0.6376722}, ""spineBase"": {""X"": 0.138916954, ""Y"": -0.242410332, ""Z"": 1.090427}, ""thumbLeft"": {""X"": -0.0653426349, ""Y"": -0.19703117, ""Z"": 0.7215714}, ""wristLeft"": {""X"": -0.0861078054, ""Y"": -0.128772333, ""Z"": 0.807322443}, ""ankleRight"": {""X"": 0.260117471, ""Y"": -0.119218327, ""Z"": 0.293647826}, ""elbowRight"": {""X"": 0.392676234, ""Y"": -0.06594952, ""Z"": 1.11633122}, ""thumbRight"": {""X"": 0.455218554, ""Y"": -0.07539951, ""Z"": 0.7633333}, ""wristRight"": {""X"": 0.33936435, ""Y"": -0.160276487, ""Z"": 0.9455135}, ""handTipLeft"": {""X"": -0.07764759, ""Y"": -0.183306962, ""Z"": 0.648309469}, ""handTipRight"": {""X"": 0.446509659, ""Y"": -0.110220358, ""Z"": 0.744396448}, ""shoulderLeft"": {""X"": -0.0409912951, ""Y"": 0.116057955, ""Z"": 1.08875477}, ""shoulderRight"": {""X"": 0.293249935, ""Y"": 0.113424033, ""Z"": 1.10833275}, ""spineShoulder"": {""X"": 0.128741413, ""Y"": 0.1784104, ""Z"": 1.158483}}",5733D7E66AA04DC88AAD76C7FAA056AE
38,"{""head"": {""X"": 0.130524069, ""Y"": 0.364382565, ""Z"": 1.22018659}, ""neck"": {""X"": 0.128356114, ""Y"": 0.235260367, ""Z"": 1.16176438}, ""hipLeft"": {""X"": 0.0614776164, ""Y"": -0.23771657, ""Z"": 1.06091046}, ""footLeft"": {""X"": 0.08666413, ""Y"": -0.570021451, ""Z"": 0.3726018}, ""handLeft"": {""X"": -0.0775402337, ""Y"": -0.167060763, ""Z"": 0.702116549}, ""hipRight"": {""X"": 0.206130385, ""Y"": -0.237515509, ""Z"": 1.06208372}, ""kneeLeft"": {""X"": 0.0687805, ""Y"": -0.171634078, ""Z"": 0.6345803}, ""spineMid"": {""X"": 0.134098038, ""Y"": 0.00174009951, ""Z"": 1.13285434}, ""ankleLeft"": {""X"": 0.0807422847, ""Y"": -0.5701117, ""Z"": 0.500715435}, ""elbowLeft"": {""X"": -0.07592233, ""Y"": -0.07821098, ""Z"": 1.00865459}, ""footRight"": {""X"": 0.250646055, ""Y"": -0.09513086, ""Z"": 0.1619227}, ""handRight"": {""X"": 0.455392629, ""Y"": -0.110531569, ""Z"": 0.7633265}, ""kneeRight"": {""X"": 0.232353061, ""Y"": -0.1770751, ""Z"": 0.6349256}, ""spineBase"": {""X"": 0.137753725, ""Y"": -0.243522033, ""Z"": 1.08895469}, ""thumbLeft"": {""X"": -0.06415685, ""Y"": -0.208944723, ""Z"": 0.687000036}, ""wristLeft"": {""X"": -0.05116311, ""Y"": -0.134212583, ""Z"": 0.8063327}, ""ankleRight"": {""X"": 0.2599028, ""Y"": -0.130343556, ""Z"": 0.2901469}, ""elbowRight"": {""X"": 0.39426142, ""Y"": -0.06480063, ""Z"": 1.11363864}, ""thumbRight"": {""X"": 0.438034445, ""Y"": -0.075058125, ""Z"": 0.736}, ""wristRight"": {""X"": 0.349241525, ""Y"": -0.153248072, ""Z"": 0.9590357}, ""handTipLeft"": {""X"": -0.08513852, ""Y"": -0.155108675, ""Z"": 0.6435623}, ""handTipRight"": {""X"": 0.4313131, ""Y"": -0.11029873, ""Z"": 0.7242431}, ""shoulderLeft"": {""X"": -0.03922134, ""Y"": 0.116498411, ""Z"": 1.08634424}, ""shoulderRight"": {""X"": 0.292595863, ""Y"": 0.113625437, ""Z"": 1.10857475}, ""spineShoulder"": {""X"": 0.129651576, ""Y"": 0.178331763, ""Z"": 1.15656424}}",5733D7E66AA04DC88AAD76C7FAA056AE
39,"{""head"": {""X"": 0.131636247, ""Y"": 0.36454013, ""Z"": 1.21898735}, ""neck"": {""X"": 0.129056379, ""Y"": 0.23543708, ""Z"": 1.16032612}, ""hipLeft"": {""X"": 0.0605365932, ""Y"": -0.238856792, ""Z"": 1.05901134}, ""footLeft"": {""X"": 0.08405967, ""Y"": -0.5720592, ""Z"": 0.371224135}, ""handLeft"": {""X"": -0.076887615, ""Y"": -0.166203141, ""Z"": 0.7048796}, ""hipRight"": {""X"": 0.201636478, ""Y"": -0.240285635, ""Z"": 1.05860889}, ""kneeLeft"": {""X"": 0.06820214, ""Y"": -0.173587978, ""Z"": 0.632549345}, ""spineMid"": {""X"": 0.133435369, ""Y"": 0.0011470773, ""Z"": 1.13068151}, ""ankleLeft"": {""X"": 0.07917194, ""Y"": -0.572146654, ""Z"": 0.49935022}, ""elbowLeft"": {""X"": -0.074943766, ""Y"": -0.07747555, ""Z"": 1.00606143}, ""footRight"": {""X"": 0.242449284, ""Y"": -0.121260673, ""Z"": 0.155180559}, ""handRight"": {""X"": 0.4565739, ""Y"": -0.113776244, ""Z"": 0.7629343}, ""kneeRight"": {""X"": 0.2262041, ""Y"": -0.193014145, ""Z"": 0.6296456}, ""spineBase"": {""X"": 0.135098457, ""Y"": -0.2455328, ""Z"": 1.08622384}, ""thumbLeft"": {""X"": -0.06553219, ""Y"": -0.198457956, ""Z"": 0.7212353}, ""wristLeft"": {""X"": -0.0801405, ""Y"": -0.1311424, ""Z"": 0.8016654}, ""ankleRight"": {""X"": 0.252171725, ""Y"": -0.157717526, ""Z"": 0.283154428}, ""elbowRight"": {""X"": 0.396249, ""Y"": -0.06436555, ""Z"": 1.11050439}, ""thumbRight"": {""X"": 0.4422256, ""Y"": -0.0684518144, ""Z"": 0.7389284}, ""wristRight"": {""X"": 0.3188434, ""Y"": -0.137851819, ""Z"": 0.9282251}, ""handTipLeft"": {""X"": -0.08222766, ""Y"": -0.171575874, ""Z"": 0.6097985}, ""handTipRight"": {""X"": 0.430027664, ""Y"": -0.1006788, ""Z"": 0.718745232}, ""shoulderLeft"": {""X"": -0.03806422, ""Y"": 0.117035136, ""Z"": 1.08428407}, ""shoulderRight"": {""X"": 0.2941169, ""Y"": 0.113487974, ""Z"": 1.10303569}, ""spineShoulder"": {""X"": 0.13010788, ""Y"": 0.1783641, ""Z"": 1.154977}}",5733D7E66AA04DC88AAD76C7FAA056AE
40,"{""head"": {""X"": 0.132321239, ""Y"": 0.364906967, ""Z"": 1.2177875}, ""neck"": {""X"": 0.129968882, ""Y"": 0.235875532, ""Z"": 1.15863311}, ""hipLeft"": {""X"": 0.0607016943, ""Y"": -0.242149144, ""Z"": 1.05704486}, ""footLeft"": {""X"": 0.07979408, ""Y"": -0.575113356, ""Z"": 0.369434029}, ""handLeft"": {""X"": -0.0769458041, ""Y"": -0.16779989, ""Z"": 0.704659}, ""hipRight"": {""X"": 0.199786216, ""Y"": -0.242775, ""Z"": 1.05711627}, ""kneeLeft"": {""X"": 0.0669938251, ""Y"": -0.176300287, ""Z"": 0.6306457}, ""spineMid"": {""X"": 0.133364752, ""Y"": 0.000243089715, ""Z"": 1.1289717}, ""ankleLeft"": {""X"": 0.07555562, ""Y"": -0.5751484, ""Z"": 0.497506022}, ""elbowLeft"": {""X"": -0.07293161, ""Y"": -0.07565244, ""Z"": 1.000279}, ""footRight"": {""X"": 0.238186866, ""Y"": -0.189941347, ""Z"": 0.14898178}, ""handRight"": {""X"": 0.4580588, ""Y"": -0.1179188, ""Z"": 0.763896346}, ""kneeRight"": {""X"": 0.223072976, ""Y"": -0.232239246, ""Z"": 0.6253359}, ""spineBase"": {""X"": 0.134071723, ""Y"": -0.248498127, ""Z"": 1.08448589}, ""thumbLeft"": {""X"": -0.06746738, ""Y"": -0.206000939, ""Z"": 0.6920001}, ""wristLeft"": {""X"": -0.08027546, ""Y"": -0.132441938, ""Z"": 0.79678607}, ""ankleRight"": {""X"": 0.247144, ""Y"": -0.22813186, ""Z"": 0.27595818}, ""elbowRight"": {""X"": 0.3978593, ""Y"": -0.06363274, ""Z"": 1.10835934}, ""thumbRight"": {""X"": 0.466451347, ""Y"": -0.0481061526, ""Z"": 0.775}, ""wristRight"": {""X"": 0.3158256, ""Y"": -0.135812283, ""Z"": 0.9275821}, ""handTipLeft"": {""X"": -0.08236273, ""Y"": -0.171857715, ""Z"": 0.610800147}, ""handTipRight"": {""X"": 0.4153456, ""Y"": -0.06921437, ""Z"": 0.699796438}, ""shoulderLeft"": {""X"": -0.03713375, ""Y"": 0.11757531, ""Z"": 1.08264816}, ""shoulderRight"": {""X"": 0.295116037, ""Y"": 0.113687217, ""Z"": 1.09963214}, ""spineShoulder"": {""X"": 0.130796015, ""Y"": 0.178480133, ""Z"": 1.15329623}}",5733D7E66AA04DC88AAD76C7FAA056AE
41,"{""head"": {""X"": 0.132824272, ""Y"": 0.3655005, ""Z"": 1.21656632}, ""neck"": {""X"": 0.130986348, ""Y"": 0.236570284, ""Z"": 1.1567806}, ""hipLeft"": {""X"": 0.0610094257, ""Y"": -0.243351579, ""Z"": 1.05616951}, ""footLeft"": {""X"": 0.07485339, ""Y"": -0.577300549, ""Z"": 0.367932141}, ""handLeft"": {""X"": -0.07614932, ""Y"": -0.16943419, ""Z"": 0.7057997}, ""hipRight"": {""X"": 0.198944256, ""Y"": -0.243679, ""Z"": 1.05598736}, ""kneeLeft"": {""X"": 0.0651423857, ""Y"": -0.178263634, ""Z"": 0.629624069}, ""spineMid"": {""X"": 0.133508563, ""Y"": -0.00008568088, ""Z"": 1.12750125}, ""ankleLeft"": {""X"": 0.07112544, ""Y"": -0.5773166, ""Z"": 0.495969862}, ""elbowLeft"": {""X"": -0.0719756857, ""Y"": -0.07465, ""Z"": 0.9979261}, ""footRight"": {""X"": 0.238610759, ""Y"": -0.189581081, ""Z"": 0.14789021}, ""handRight"": {""X"": 0.45614633, ""Y"": -0.127223819, ""Z"": 0.756174147}, ""kneeRight"": {""X"": 0.223107308, ""Y"": -0.232337818, ""Z"": 0.624261141}, ""spineBase"": {""X"": 0.133753628, ""Y"": -0.249584541, ""Z"": 1.08350122}, ""thumbLeft"": {""X"": -0.07483521, ""Y"": -0.188113362, ""Z"": 0.66200006}, ""wristLeft"": {""X"": -0.07942073, ""Y"": -0.133862555, ""Z"": 0.7951237}, ""ankleRight"": {""X"": 0.247917652, ""Y"": -0.227558345, ""Z"": 0.274882823}, ""elbowRight"": {""X"": 0.399582863, ""Y"": -0.0625216, ""Z"": 1.105493}, ""thumbRight"": {""X"": 0.44385618, ""Y"": -0.06739998, ""Z"": 0.74075}, ""wristRight"": {""X"": 0.343030721, ""Y"": -0.13584514, ""Z"": 0.948057353}, ""handTipLeft"": {""X"": -0.0864598751, ""Y"": -0.151143879, ""Z"": 0.6213871}, ""handTipRight"": {""X"": 0.425182074, ""Y"": -0.112819463, ""Z"": 0.708724}, ""shoulderLeft"": {""X"": -0.0366027728, ""Y"": 0.118307039, ""Z"": 1.081266}, ""shoulderRight"": {""X"": 0.2957101, ""Y"": 0.114145041, ""Z"": 1.09696615}, ""spineShoulder"": {""X"": 0.131609112, ""Y"": 0.178900212, ""Z"": 1.1515013}}",5733D7E66AA04DC88AAD76C7FAA056AE
